COMUNA,AÑO,,,,,,,,,,,,
Tiltil,"227,0",,,,,,,,,,,,
Colina,"261,0",,,,,,,,,,,,
Lampa,"248,0",,,,,,,,,,,,
Lo Barnechea,"280,0",,,,,,,,,,,,
Quilicura,"253,0",,,,,,,,,,,,
Huechuraba,"256,0",,,,,,,,,,,,
Conchalí,"252,0",,,,,,,,,,,,
Vitacura,"285,0",,,,,,,,,,,,
Curacaví,"242,0",,,,,,,,,,,,
Renca,"244,0",,,,,,,,,,,,
Recoleta,"245,0",,,,,,,,,,,,
Independencia,"255,0",,,,,,,,,,,,
Las Condes,"281,0",,,,,,,,,,,,
Cerro Navia,"237,0",,,,,,,,,,,,
Quinta Normal,"247,0",,,,,,,,,,,,
Providencia,"278,0",,,,,,,,,,,,
Pudahuel,"248,0",,,,,,,,,,,,
La Reina,"271,0",,,,,,,,,,,,
Lo Prado,"246,0",,,,,,,,,,,,
Santiago,"259,0",,,,,,,,,,,,
Ñuñoa,"268,0",,,,,,,,,,,,
Estación Central,"245,0",,,,,,,,,,,,
Peñalolén,"254,0",,,,,,,,,,,,
Macul,"256,0",,,,,,,,,,,,
Pedro Aguirre Cerda,"243,0",,,,,,,,,,,,
San Joaquín,"247,0",,,,,,,,,,,,
San Miguel,"266,0",,,,,,,,,,,,
Cerrillos,"239,0",,,,,,,,,,,,
Maipú,"252,0",,,,,,,,,,,,
María Pinto,"235,0",,,,,,,,,,,,
Lo Espejo,"245,0",,,,,,,,,,,,
La Florida,"255,0",,,,,,,,,,,,
La Cisterna,"253,0",,,,,,,,,,,,
La Granja,"246,0",,,,,,,,,,,,
San Ramón,"252,0",,,,,,,,,,,,
El Bosque,"249,0",,,,,,,,,,,,
Padre Hurtado,"252,0",,,,,,,,,,,,
La Pintana,"242,0",,,,,,,,,,,,
San Bernardo,"245,0",,,,,,,,,,,,
Puente Alto,"249,0",,,,,,,,,,,,
Peñaflor,"248,0",,,,,,,,,,,,
Calera De Tango,"247,0",,,,,,,,,,,,
Pirque,"245,0",,,,,,,,,,,,
San José De Maipo,"238,0",,,,,,,,,,,,
Talagante,"254,0",,,,,,,,,,,,
El Monte,"239,0",,,,,,,,,,,,
Melipilla,"250,0",,,,,,,,,,,,
Buin,"246,0",,,,,,,,,,,,
Isla De Maipo,"238,0",,,,,,,,,,,,
Paine,"244,0",,,,,,,,,,,,
San Pedro,"247,0",,,,,,,,,,,,
Alhué,"226,0",,,,,,,,,,,,
,,,,,,,,,,,,,
La fuente de esta base de datos es la Biblioteca del Congreso Nacional de Chile: https://www.bcn.cl/siit/estadisticasterritoriales/resultados-consulta?id=530156,,,,,,,,,,,,,
