Comuna,Porcentaje
Vitacura,"91,3"
Las Condes,"85,6"
Providencia,"82,5"
Santiago,"76,2"
Maipú,"75,9"
Ñuñoa,"75,7"
La Reina,"74,5"
Recoleta,"70,4"
La Cisterna,"70,7"
Talagante,"69,7"
Quilicura,"69,3"
La Florida,"68,8"
Macul,"67,5"
San Miguel,"66,8"
Puente Alto,"66,8"
Lo Barnechea,"66,6"
Melipilla,"66,3"
Independencia,"65,9"
Colina,"65,9"
San Bernardo,"65,8"
Paine,"65,7"
Peñalolén,"65,3"
Estación Central,"65,2"
Pudahuel,"63,2"
Renca,"62,4"
Huechuraba,"60,4"
El Bosque,"60,3"
Padre Hurtado,"58,7"
Calera de Tango,"56,3"
San José de Maipo,"56,2"
Lo Prado,"55,1"
Isla de Maipo,"55,1"
Curacaví,"54,7"
Quinta Normal,"54,9"
Peñaflor,"53,8"
Cerrillos,"53,7"
Pirque,"52,5"
La Granja,"51,2"
Lampa,"50,1"
Conchalí,"48,0"
Tiltil,"46,3"
San Ramón,"46,6"
Pedro Aguirre Cerda,"45,8"
San Joaquín,"43,1"
Cerro Navia,"43,9"
La Pintana,"42,3"
María Pinto,"42,9"
San Pedro,"40,0"
Lo Espejo,"36,7"
Alhué,"36,4"
El Monte,"29,3"
,
"El índice corresponde al promedio de resultados PSU mayor o igual a 450 puntos por tipo de establecimiento (municipal, particular pagado y particular subvencionado) presente en la comuna, excluyendo valores cero cuando estos representan ausencia de oferta ",
https://www.bcn.cl/siit/estadisticasterritoriales/resultados-consulta?id=530154,
