COMUNA,VARIABLE,2011,2013,2015,2017,2020,2022
Tiltil,Porcentaje de personas en situación de pobreza por ingresos,"32,3","9,9","7,9","6,8","10,1","6,1"
Colina,Porcentaje de personas en situación de pobreza por ingresos,"15,3","7,3","12,6","6,4","8,6","5,2"
Lampa,Porcentaje de personas en situación de pobreza por ingresos,"29,2","8,5","9,9","3,7","10,3","5,0"
Lo Barnechea,Porcentaje de personas en situación de pobreza por ingresos,"15,4","4,3","2,5","2,9","5,5","1,0"
Quilicura,Porcentaje de personas en situación de pobreza por ingresos,"12,4","9,3","7,9","5,7","8,6","5,3"
Huechuraba,Porcentaje de personas en situación de pobreza por ingresos,"15,0","5,2","6,2","5,7","8,3","4,3"
Conchalí,Porcentaje de personas en situación de pobreza por ingresos,"11,4","10,1","10,2","7,5","12,5","6,1"
Vitacura,Porcentaje de personas en situación de pobreza por ingresos,"0,2","0,3","0,1","0,2","3,4","0,9"
Curacaví,Porcentaje de personas en situación de pobreza por ingresos,"24,5","7,5","6,9","7,5","9,7","6,0"
Renca,Porcentaje de personas en situación de pobreza por ingresos,"23,2","9,0","8,6","3,8","10,2","5,3"
Recoleta,Porcentaje de personas en situación de pobreza por ingresos,"14,0","10,8","13,9","6,9","13,3","5,2"
Independencia,Porcentaje de personas en situación de pobreza por ingresos,"13,7","14,3","9,9","8,6","14,0","5,9"
Las Condes,Porcentaje de personas en situación de pobreza por ingresos,"2,3","1,4","0,6","0,2","2,8","1,0"
Cerro Navia,Porcentaje de personas en situación de pobreza por ingresos,"19,9","15,4","12,1","7,6","13,0","6,1"
Quinta Normal,Porcentaje de personas en situación de pobreza por ingresos,"15,2","9,5","6,0","3,8","9,2","2,2"
Providencia,Porcentaje de personas en situación de pobreza por ingresos,"0,2","3,1","0,8","0,5","3,7","1,4"
Pudahuel,Porcentaje de personas en situación de pobreza por ingresos,"17,4","9,4","7,8","8,3","8,9","4,4"
La Reina,Porcentaje de personas en situación de pobreza por ingresos,"11,4","1,3","2,4","1,0","4,7","1,7"
Lo Prado,Porcentaje de personas en situación de pobreza por ingresos,"13,2","7,2","5,7","5,8","13,7","5,4"
Santiago,Porcentaje de personas en situación de pobreza por ingresos,"12,3","6,4","6,0","4,1","8,5","3,9"
Ñuñoa,Porcentaje de personas en situación de pobreza por ingresos,"7,2","0,6","2,5","0,9","4,0","1,5"
Estación Central,Porcentaje de personas en situación de pobreza por ingresos,"20,7","11,5","6,2","5,9","11,7","5,1"
Peñalolén,Porcentaje de personas en situación de pobreza por ingresos,"19,2","9,4","4,8","4,4","10,7","3,3"
Macul,Porcentaje de personas en situación de pobreza por ingresos,"9,8","6,2","5,4","7,5","7,0","3,5"
Pedro Aguirre Cerda,Porcentaje de personas en situación de pobreza por ingresos,"17,9","8,0","11,1","6,3","11,8","5,5"
San Joaquín,Porcentaje de personas en situación de pobreza por ingresos,"30,9","5,7","6,7","5,3","11,9","4,9"
San Miguel,Porcentaje de personas en situación de pobreza por ingresos,"16,6","4,6","3,5","4,9","5,4","2,2"
Cerrillos,Porcentaje de personas en situación de pobreza por ingresos,"15,2","6,9","8,2","6,5","9,1","5,3"
