COMUNA,AÑO,,,,,,,,,,,,
Tiltil,"232,0",,,,,,,,,,,,
Colina,"262,0",,,,,,,,,,,,
Lampa,"244,0",,,,,,,,,,,,
Lo Barnechea,"284,0",,,,,,,,,,,,
Quilicura,"254,0",,,,,,,,,,,,
Huechuraba,"267,0",,,,,,,,,,,,
Conchalí,"245,0",,,,,,,,,,,,
Vitacura,"289,0",,,,,,,,,,,,
Curacaví,"234,0",,,,,,,,,,,,
Renca,"243,0",,,,,,,,,,,,
Recoleta,"244,0",,,,,,,,,,,,
Independencia,"258,0",,,,,,,,,,,,
Las Condes,"281,0",,,,,,,,,,,,
Cerro Navia,"231,0",,,,,,,,,,,,
Quinta Normal,"235,0",,,,,,,,,,,,
Providencia,"278,0",,,,,,,,,,,,
Pudahuel,"248,0",,,,,,,,,,,,
La Reina,"270,0",,,,,,,,,,,,
Lo Prado,"237,0",,,,,,,,,,,,
Santiago,"256,0",,,,,,,,,,,,
Ñuñoa,"264,0",,,,,,,,,,,,
Estación Central,"241,0",,,,,,,,,,,,
Peñalolén,"258,0",,,,,,,,,,,,
Macul,"261,0",,,,,,,,,,,,
Pedro Aguirre Cerda,"243,0",,,,,,,,,,,,
San Joaquín,"242,0",,,,,,,,,,,,
San Miguel,"252,0",,,,,,,,,,,,
Cerrillos,"243,0",,,,,,,,,,,,
Maipú,"258,0",,,,,,,,,,,,
María Pinto,"231,0",,,,,,,,,,,,
Lo Espejo,"245,0",,,,,,,,,,,,
La Florida,"258,0",,,,,,,,,,,,
La Cisterna,"243,0",,,,,,,,,,,,
La Granja,"242,0",,,,,,,,,,,,
San Ramón,"247,0",,,,,,,,,,,,
El Bosque,"248,0",,,,,,,,,,,,
Padre Hurtado,"249,0",,,,,,,,,,,,
La Pintana,"242,0",,,,,,,,,,,,
San Bernardo,"246,0",,,,,,,,,,,,
Puente Alto,"253,0",,,,,,,,,,,,
Peñaflor,"244,0",,,,,,,,,,,,
Calera De Tango,"253,0",,,,,,,,,,,,
Pirque,"250,0",,,,,,,,,,,,
San José De Maipo,"237,0",,,,,,,,,,,,
Talagante,"253,0",,,,,,,,,,,,
El Monte,"238,0",,,,,,,,,,,,
Melipilla,"247,0",,,,,,,,,,,,
Buin,"243,0",,,,,,,,,,,,
Isla De Maipo,"243,0",,,,,,,,,,,,
Paine,"250,0",,,,,,,,,,,,
San Pedro,"200,0",,,,,,,,,,,,
Alhué,"209,0",,,,,,,,,,,,
,,,,,,,,,,,,,
La fuente de esta base de datos es la Biblioteca del Congreso Nacional de Chile: https://www.bcn.cl/siit/estadisticasterritoriales/resultados-consulta?id=530156,,,,,,,,,,,,,
