Unidad territorial, Variable, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021
Tiltil, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Colina, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 98.9, 98.18, 97.63, 98.82, 99.03, 98.91, 98.92, 96.89, 98.35, 97.9, 96.49, 96.6, 93.94, 95.77
Lampa, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Lo Barnechea, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 97.92, 97.63, 97.84, 98.88, 98.0, 97.83, 97.39, 97.73, 97.92, 97.99, 98.26, 97.68, 97.36, 98.14
Quilicura, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 91.04, 98.88, 98.2, 95.28, 89.26, 92.41
Huechuraba, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 97.73, 100.0, 98.72, 97.98, 100.0, 98.09, 94.58, 93.59, 96.36, 93.65, 95.29, 94.1, 91.58, 91.67
Conchalí, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Vitacura, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 94.44, 94.28, 94.49, 94.9, 94.42, 95.71, 94.45, 95.02, 95.91, 96.51, 95.34, 94.41, 95.36, 94.97
Curacaví, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 100.0, 100.0, 90.0, 90.0, 87.5, 100.0, 80.0, 100.0, 100.0, 80.0, 90.91, 90.0, 77.78, 66.67
Renca, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Recoleta, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 100.0, 100.0, 100.0, 98.86, 97.78, 100.0, 97.62, 92.94, 100.0, 100.0, 94.12, 94.59, 96.15, 95.89
Independencia, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 97.73, 100.0, 95.56, 97.06, 97.83, 97.14, 95.83, 96.88, 93.75, 97.62, 76.71, 90.0, 81.43, 84.91
Las Condes, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 95.87, 95.3, 94.81, 95.54, 95.11, 95.23, 94.36, 93.85, 93.67, 94.08, 94.26, 94.39, 93.59, 94.53
Cerro Navia, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Quinta Normal, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
Providencia, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 87.09, 87.81, 85.53, 87.94, 85.28, 83.34, 82.41, 81.16, 85.81, 88.08, 86.27, 85.77, 88.75, 90.06
Pudahuel, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Particulares Pagados de Educación, 0.0, 100.0, 100.0, 94.44, 98.0, 100.0, 97.44, 100.0, 100.0, 100.0, 100.0, 98.08, 96.49, 95.24
