Unidad territorial, Variable, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021
Tiltil, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 23.76, 19.0, 17.86, 18.81, 24.24, 31.82, 28.42, 32.22, 18.09, 36.67, 36.59, 39.13, 37.88, 44.44
Colina, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 43.61, 39.77, 35.7, 33.72, 41.74, 39.96, 34.92, 33.83, 48.77, 44.95, 46.21, 44.35, 46.39, 44.79
Lampa, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 31.36, 22.82, 15.22, 18.63, 19.35, 24.47, 25.24, 21.37, 25.16, 29.63, 26.2, 22.82, 32.82, 41.53
Lo Barnechea, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 25.0, 40.14, 36.18, 29.45, 40.67, 38.54, 28.81, 36.17, 42.62, 46.09, 34.33, 38.64, 33.94, 30.19
Quilicura, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 18.52, 21.85, 30.28, 21.09, 20.79, 22.97, 18.87, 22.4, 14.86, 40.28, 37.12, 38.06, 40.23, 45.87
Huechuraba, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 5.13, 14.93, 23.91, 20.69, 24.39, 29.03, 21.43, 2.78, 7.5, 18.0, 20.0, 25.64, 30.43, 35.48
Conchalí, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 49.8, 41.49, 44.03, 47.26, 52.31, 44.39, 58.71, 46.89, 54.59, 53.55, 49.52, 51.52, 59.62, 45.28
Vitacura, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 91.33, 92.91, 91.67, 95.71, 96.13, 93.53, 96.0, 94.92, 86.75, 93.18, 93.82, 93.42, 89.07, 87.77
Curacaví, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 26.25, 28.57, 33.54, 24.62, 28.0, 27.21, 28.17, 33.58, 28.03, 42.96, 32.41, 31.4, 36.51, 36.72
Renca, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 55.0, 67.65, 74.71, 74.36, 63.27, 63.6, 60.12, 52.17, 50.24, 55.05, 56.96, 50.14, 57.18, 56.27
Recoleta, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 37.0, 39.53, 42.62, 40.72, 37.05, 38.39, 36.96, 34.88, 35.92, 35.24, 33.26, 31.57, 38.74, 43.76
Independencia, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 63.72, 62.72, 60.25, 50.72, 60.61, 53.77, 51.07, 56.04, 48.93, 55.16, 54.04, 56.31, 49.73, 54.04
Las Condes, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 74.06, 79.2, 84.0, 65.27, 68.84, 69.17, 72.7, 73.87, 72.64, 77.0, 80.21, 81.37, 76.58, 83.63
Cerro Navia, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 17.09, 20.83, 16.37, 18.4, 19.42, 24.0, 24.31, 21.15, 23.94, 31.55, 27.68, 30.46, 0.0, 35.62
Quinta Normal, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 39.66, 37.38, 42.59, 45.53, 43.0, 40.5, 43.78, 41.41, 39.67, 39.48, 36.78, 37.12, 39.57, 46.07
Providencia, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 97.41, 96.74, 96.41, 97.47, 96.09, 97.68, 96.47, 94.86, 93.15, 93.75, 91.46, 88.9, 87.11, 86.42
Pudahuel, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos Municipales de Educación, 22.22, 25.35, 22.94, 25.83, 27.39, 30.77, 27.96, 34.83, 25.11, 34.81, 36.56, 30.41, 0.0, 33.94
