Unidad territorial, Variable, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021
Tiltil, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 0.0, 0.0, 0.0, 0.0, 73.33, 55.56, 56.67, 68.0, 33.33, 41.3, 36.73, 44.44, 52.17, 48.0
Colina, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 47.53, 48.81, 45.03, 52.28, 46.96, 53.37, 50.0, 50.46, 56.72, 53.55, 51.84, 60.57, 53.13, 57.02
Lampa, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 33.33, 60.66, 53.98, 47.76, 49.6, 51.75, 44.93, 51.72, 50.5, 48.31, 45.06, 51.06, 56.25, 58.49
Lo Barnechea, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 59.41, 60.77, 69.9, 68.57, 75.48, 68.39, 69.11, 73.3, 77.11, 79.88, 66.49, 65.29, 71.0, 71.35
Quilicura, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 57.6, 58.15, 62.24, 61.37, 61.59, 60.4, 67.37, 65.51, 63.9, 68.87, 66.59, 66.27, 63.89, 69.58
Huechuraba, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 16.46, 22.92, 28.32, 37.25, 35.79, 37.36, 25.24, 44.22, 37.42, 33.33, 39.61, 55.64, 43.93, 53.85
Conchalí, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 50.42, 50.57, 50.27, 43.64, 59.18, 52.23, 49.84, 55.9, 56.55, 55.45, 53.05, 54.46, 49.59, 50.62
Vitacura, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 85.48, 86.67, 89.44, 84.14, 91.67, 86.3, 89.17, 88.99, 96.04, 92.71, 100.0, 96.67, 97.22, 91.18
Curacaví, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 63.44, 73.15, 76.39, 74.42, 59.76, 51.88, 51.52, 54.21, 54.44, 58.95, 55.22, 56.16, 59.16, 60.53
Renca, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 55.2, 58.61, 56.36, 58.11, 61.34, 62.06, 61.4, 57.94, 60.41, 61.95, 62.62, 51.85, 67.0, 68.39
Recoleta, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 69.74, 71.11, 70.93, 71.29, 73.07, 72.65, 73.72, 72.02, 72.58, 77.53, 74.97, 72.38, 70.32, 71.53
Independencia, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 41.35, 40.86, 43.58, 40.1, 44.8, 52.65, 44.93, 49.53, 47.05, 53.1, 53.15, 51.12, 56.12, 58.52
Las Condes, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 77.19, 82.35, 79.82, 95.27, 94.48, 94.59, 94.1, 95.14, 82.08, 80.14, 80.35, 82.55, 76.79, 78.36
Cerro Navia, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 34.19, 26.51, 34.73, 29.32, 38.93, 33.04, 25.24, 31.61, 47.53, 45.51, 51.23, 42.34, 56.88, 52.1
Quinta Normal, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 61.0, 57.01, 65.74, 58.18, 64.72, 62.1, 60.51, 62.78, 68.38, 68.65, 60.94, 63.67, 62.59, 63.57
Providencia, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 70.44, 70.26, 72.59, 73.79, 70.76, 70.06, 71.4, 73.78, 71.79, 73.25, 75.0, 72.75, 68.43, 70.89
Pudahuel, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 38.55, 42.89, 47.06, 50.7, 56.58, 50.31, 51.27, 54.0, 53.45, 57.45, 59.35, 60.72, 57.11, 60.39
La Reina, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 85.82, 91.81, 88.54, 88.13, 90.41, 87.0, 90.31, 86.75, 85.12, 86.82, 78.99, 88.36, 85.1, 81.31
Lo Prado, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 63.01, 72.97, 63.16, 67.57, 71.62, 64.79, 77.63, 73.91, 68.57, 63.44, 77.67, 71.59, 67.82, 72.53
Santiago, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 71.13, 70.41, 68.15, 68.55, 69.0, 66.41, 65.0, 66.73, 66.15, 70.38, 68.55, 65.39, 67.86, 69.54
Ñuñoa, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 57.89, 56.27, 63.02, 59.54, 62.11, 61.7, 60.32, 57.75, 62.03, 56.47, 57.43, 55.52, 57.49, 65.93
Estación Central, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 71.59, 71.31, 70.03, 69.97, 67.97, 67.32, 68.58, 65.09, 63.5, 68.52, 63.78, 62.05, 61.36, 62.42
Peñalolén, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 58.86, 60.15, 57.1, 59.61, 63.22, 62.57, 62.41, 63.83, 63.09, 65.01, 66.2, 68.28, 63.95, 64.97
Macul, Porcentaje de Puntajes PSU Igual o Superior a 450 Puntos en Establecimientos  Particulares Subvencionados de Educación, 71.46, 68.1, 74.83, 75.97, 71.92, 71.62, 71.81, 69.73, 73.04, 72.61, 73.61, 67.44, 71.87, 70.07
