Comuna,% Pobreza Multidimensional,,Fuente: https://www.bcn.cl/siit/estadisticasterritoriales/resultados-consulta?id=536182
San Pedro,"32,0",,
Alhué,"29,2",,
Tiltil,"29,0",,
Lo Espejo,"28,8",,
María Pinto,"27,2",,
La Pintana,"27,0",,
Curacaví,"25,9",,
Lampa,"25,7",,
Colina,"24,6",,
San José de Maipo,"24,5",,
Cerro Navia,"23,1",,
El Monte,"23,0",,
Estación Central,"22,9",,
Melipilla,"22,9",,
Isla de Maipo,"22,9",,
Cerrillos,"22,6",,
Independencia,"22,5",,
La Granja,"22,4",,
Recoleta,"21,2",,
Paine,"21,0",,
Pedro Aguirre Cerda,"20,2",,
Quinta Normal,"19,7",,
San Joaquín,"19,7",,
Padre Hurtado,"19,6",,
Renca,"19,5",,
Pirque,"19,5",,
Lo Prado,"19,4",,
San Ramón,"19,2",,
Buin,"19,2",,
Puente Alto,"19,0",,
Conchalí,"18,8",,
San Bernardo,"18,8",,
Huechuraba,"18,7",,
Calera de Tango,"18,6",,
El Bosque,"17,5",,
Quilicura,"17,1",,
Talagante,"17,0",,
Pudahuel,"16,9",,
Peñalolén,"16,7",,
Santiago,"16,5",,
Peñaflor,"15,2",,
Maipú,"14,9",,
Macul,"13,5",,
La Cisterna,"13,5",,
La Florida,"13,2",,
San Miguel,"13,0",,
Lo Barnechea,"10,9",,
Ñuñoa,"5,2",,
La Reina,"4,9",,
Las Condes,"4,5",,
Providencia,"4,4",,
Vitacura,"2,5",,
